Part,Value,Device,Package,Qty,x40,Mouser No.,Price @10-50,Price,Price x40
"C1, C2",18pF,C-USC1206,C1206,2,80,VJ0805A180GXACW1BC,$0.130,$0.260,$10.400
"C3, C15",47uF,"CPOL-USUD-6,3X5,8","UD-6,3X5,8_NICHICON rcl",2,80,UCD1V470MCL1GS,$0.200,$0.400,$16.000
"C4, C5, C6, C7, C10, C11",100nF,C-USC1206,C1206,6,240,C0805C104M5RACTM,$0.022,$0.132,$5.280
"C16, C17",4.7nF,C-USC1206,C1206,2,80,C2012C0G1H472JT/0.60,$0.097,$0.194,$7.760
D1,1N4148,SOD-123,SOD-123,1,40,1N4148W-V-GS08,$0.083,$0.083,$3.320
"D2, D3, D4",1N5819,DIODESMA,SMA-DIODE,3,120,CD214A-B240LF,$0.170,$0.510,$20.400
F1,PTC .3A,PTC-1206,SparkFun,1,40,1206L012WR,$0.270,$0.270,$10.800
F10,PTC .5A,PTC-1206,SparkFun,1,40,1206L025YR,$0.270,$0.270,$10.800
H7,ICSP,AVR-ISP-6,AVR-ISP-6,1,40,,,$0.000,$0.000
IC1,AT90CAN128,AT90CAN128,TQFP64,1,40,556-A90CAN128-16AU,$6.950,$6.950,$278.000
IC2,MCP2551SO8,MCP2551SO8,SO08,1,40,579-MCP2551-I/SN,$0.850,$0.850,$34.000
IC3,NUP2105L,NUP2105L,SOT-23,1,40,863-NUP2105LT1G,$0.340,$0.340,$13.600
IC5,LD1117-5,LD1117-5,DPACK,1,40,LD1117DT50CTR,$0.497,$0.497,$19.880
J1,POWER_JACKPTH,POWER_JACKPTH,POWER_JACK_PTH,1,40,KLDX-0202-A,$0.607,$0.607,$24.280
"JP1, JP3","M10""","M10""",1X10,2,80,,,$0.000,$0.000
"JP2, JP10",JUMPER-3PTH,JUMPER-3PTH,1X03,1,40,649-69190-410HLF,$0.151,$0.151,$6.040
"JP8, JP9",JUMPER-2PTH,1X02,SparkFun,0,0,,,$0.000,$0.000
Jumpers,,,,4,160,535-ME-100,$0.090,$0.360,$14.400
"JP4, JP6, JP7, JP12",2X5_HEADERSHROUDED 2X5_SHROUD,,1,4,160,,,$0.000,$0.000
JP5,FTDI_BASICPTH,FTDI_BASICPTH,FTDI_BASIC,1,40,,,$0.000,$0.000
L1,,1206,,1,40,CS321613-100K,$0.080,$0.080,$3.200
"LED1, output LEDs",PWR,LEDCHIPLED_1206,CHIPLED_1206,9,360,598-8170-107F,$0.072,$0.648,$25.920
LED4,BLUE,LEDCHIPLED_1206,CHIPLED_1206,1,40,638-172BHC-AN1P23T,$0.200,$0.200,$8.000
LED5,GOLD,LEDCHIPLED_1206,CHIPLED_1206,1,40,LTST-S220KFKT,$0.093,$0.093,$3.720
Q1,56P2859,CRYSTALHC49S,HC49/S,1,40,717-9B-16.000MAAJ-B,$0.390,$0.390,$15.600
Q2â€”Q9,PMV56XN,MOSFET-NCHANNELSMD SOT23-3,SparkFun,8,320,771-PMV56XN215,$0.110,$0.880,$35.200
"R1, R3",100K,R-US_R1206,R1206,2,80,292-100K-RC,$0.040,$0.080,$3.200
"R2, R7, R8, R9, R14, R15, R16, R17",10K,R-US_R1206,R1206,8,320,667-ERJ-6GEYJ103V,$0.040,$0.320,$12.800
"R4, R5",60.4,R-US_R1206,R1206,2,80,652-CR1206FX-60R4ELF,$0.030,$0.060,$2.400
"R6, R10, R11",1K 3/4W,R-US_R1206,R1206,11,440,660-RK73B2HTTE102J,$0.090,$0.990,$39.600
"R12, R13",470,R-US_R1206,R1206,2,80,667-ERJ-6GEYJ471V,$0.016,$0.032,$1.280
"S1, S2, S3",B3F-1052,,,3,120,B3F-1052,$0.210,$0.630,$25.200
S1 Cap,B32-1010,,,1,40,B32-1010,$0.250,$0.250,$10.000
S2 Cap,B32-1030,,,1,40,B32-1030,$0.210,$0.210,$8.400
S3 Cap,B32-1040,,,1,40,B32-1040,$0.205,$0.205,$8.200
"X2, X3",RJ45-8PTH,RJ45-8PTH,RJ45-8,2,80,,$1.000,$2.000,$80.000
heatsink,,,,1,40,573100D00010G,$0.790,$0.790,$31.600
,,,,,,,,$19.732,$789.280